givenName,surname,department,domain,userPrincipalName,samAccountName,Name,ClearPassword,Path
Amara,Gomersal,IT,adatum.com,AmaraG@adatum.com,AmaraG,Amara Gomersal,i8jcnmqnNW0nJ,"ou=IT,dc=adatum,dc=com"
Leia,Mennear,Research,adatum.com,LeiaM@adatum.com,LeiaM,Leia Mennear,AI65GMsEUH1tC,"ou=Research,dc=adatum,dc=com"
Allegra,Gendrich,Sales,adatum.com,AllegraG@adatum.com,AllegraG,Allegra Gendrich,FK0aq20qcS9nO,"ou=Sales,dc=adatum,dc=com"
Carolina,Knill,IT,adatum.com,CarolinaK@adatum.com,CarolinaK,Carolina Knill,fg6XgV2zdB7zC,"ou=IT,dc=adatum,dc=com"
Trula,Kroch,Development,adatum.com,TrulaK@adatum.com,TrulaK,Trula Kroch,3AliC6yQOf2nW,"ou=Development,dc=adatum,dc=com"
Wainwright,Gillham,Research,adatum.com,WainwrightG@adatum.com,WainwrightG,Wainwright Gillham,Uk9SoHs1gE0fS,"ou=Research,dc=adatum,dc=com"
Jacynth,Cicculi,Development,adatum.com,JacynthC@adatum.com,JacynthC,Jacynth Cicculi,M2MeallKw74xU,"ou=Development,dc=adatum,dc=com"
Norean,Kinton,Managers,adatum.com,NoreanK@adatum.com,NoreanK,Norean Kinton,FxVZuEfiQQ7jN,"ou=Managers,dc=adatum,dc=com"
Kirbee,Dyshart,Sales,adatum.com,KirbeeD@adatum.com,KirbeeD,Kirbee Dyshart,KrXm4eplaX9cC,"ou=Sales,dc=adatum,dc=com"
Dionne,Fuke,Managers,adatum.com,DionneF@adatum.com,DionneF,Dionne Fuke,6hN9TGU0qr3fN,"ou=Managers,dc=adatum,dc=com"
Tine,Lantry,Managers,adatum.com,TineL@adatum.com,TineL,Tine Lantry,rEmbE59MkL5nJ,"ou=Managers,dc=adatum,dc=com"
Kasper,Dreng,Marketing,adatum.com,KasperD@adatum.com,KasperD,Kasper Dreng,nhOEYDL4WG7tY,"ou=Marketing,dc=adatum,dc=com"
Teddie,Nibley,IT,adatum.com,TeddieN@adatum.com,TeddieN,Teddie Nibley,1vceSLTxP70uZ,"ou=IT,dc=adatum,dc=com"
Johannes,Adams,Research,adatum.com,JohannesA@adatum.com,JohannesA,Johannes Adams,HcO4RhEHVf7jB,"ou=Research,dc=adatum,dc=com"
Humfried,Islep,Managers,adatum.com,HumfriedI@adatum.com,HumfriedI,Humfried Islep,jGUBll8d2p8vJ,"ou=Managers,dc=adatum,dc=com"
Keane,Findlay,Research,adatum.com,KeaneF@adatum.com,KeaneF,Keane Findlay,MaOHW0yZju1eZ,"ou=Research,dc=adatum,dc=com"
Bryn,Hundley,Research,adatum.com,BrynH@adatum.com,BrynH,Bryn Hundley,V3BknWMtcT2wO,"ou=Research,dc=adatum,dc=com"
Dotty,Franciotti,Research,adatum.com,DottyF@adatum.com,DottyF,Dotty Franciotti,zwvjc4TuUO0zT,"ou=Research,dc=adatum,dc=com"
Ethyl,Hellin,IT,adatum.com,EthylH@adatum.com,EthylH,Ethyl Hellin,HQdyrV1nIe7lY,"ou=IT,dc=adatum,dc=com"
Morna,Schuricke,Development,adatum.com,MornaS@adatum.com,MornaS,Morna Schuricke,Z4TYCXeE165mV,"ou=Development,dc=adatum,dc=com"
Elora,Vasyanin,Research,adatum.com,EloraV@adatum.com,EloraV,Elora Vasyanin,i6cHP0iJb73hE,"ou=Research,dc=adatum,dc=com"
Staffard,Mariot,Research,adatum.com,StaffardM@adatum.com,StaffardM,Staffard Mariot,TpUgafwKJi3kP,"ou=Research,dc=adatum,dc=com"
Morty,Kopecka,IT,adatum.com,MortyK@adatum.com,MortyK,Morty Kopecka,Mia7qcxCfj6qG,"ou=IT,dc=adatum,dc=com"
Athena,Kilrow,Development,adatum.com,AthenaK@adatum.com,AthenaK,Athena Kilrow,OPf1I73hsc8hR,"ou=Development,dc=adatum,dc=com"
Belia,Hewlings,Marketing,adatum.com,BeliaH@adatum.com,BeliaH,Belia Hewlings,GAiR7m6Ylc3qT,"ou=Marketing,dc=adatum,dc=com"
Brocky,Ions,Sales,adatum.com,BrockyI@adatum.com,BrockyI,Brocky Ions,fxrJ77l0Zd2yZ,"ou=Sales,dc=adatum,dc=com"
Jean,Lamas,Sales,adatum.com,JeanL@adatum.com,JeanL,Jean Lamas,92JZnb3A1T6jD,"ou=Sales,dc=adatum,dc=com"
Franz,Adel,Sales,adatum.com,FranzA@adatum.com,FranzA,Franz Adel,S3NnwxtcAM1pM,"ou=Sales,dc=adatum,dc=com"
Ilise,Rowter,Sales,adatum.com,IliseR@adatum.com,IliseR,Ilise Rowter,JFvM6tav3L8bV,"ou=Sales,dc=adatum,dc=com"
Daisi,Muzzi,Development,adatum.com,DaisiM@adatum.com,DaisiM,Daisi Muzzi,Cnwolm4aZT7hD,"ou=Development,dc=adatum,dc=com"
Flinn,Minmagh,Managers,adatum.com,FlinnM@adatum.com,FlinnM,Flinn Minmagh,3uCHoYHBUq6pW,"ou=Managers,dc=adatum,dc=com"
Erina,Biggadyke,IT,adatum.com,ErinaB@adatum.com,ErinaB,Erina Biggadyke,IHfE9uuLQP1kE,"ou=IT,dc=adatum,dc=com"
Ashlan,Peppard,Sales,adatum.com,AshlanP@adatum.com,AshlanP,Ashlan Peppard,gOmGwtFD2P9oW,"ou=Sales,dc=adatum,dc=com"
Sabra,Fickling,IT,adatum.com,SabraF@adatum.com,SabraF,Sabra Fickling,gf8zr7wLES6cE,"ou=IT,dc=adatum,dc=com"
